"Visitor arrivals by country of citizenship and visa type (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","New Zealand","","","","","","","Australia","","","","","","","China, People's Republic of","","","","","","","Japan","","","","","","","Korea, Republic of","","","","","","","Germany","","","","","","","United Kingdom","","","","","","","Canada","","","","","","","United States of America","","","","","","","TOTAL ALL CITIZENSHIPS","","","","","",""
" ","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL","Residence","Student","Visitor","Work","New Zealand and Australian citizens","Other","TOTAL"
"2024M03",0,0,0,0,46655,0,46655,0,0,0,0,91492,0,91492,1743,310,17573,375,0,33,20034,162,95,7702,187,0,9,8155,210,35,8296,85,0,5,8631,232,7,8278,320,0,8,8845,1292,2,19768,353,0,57,21472,154,3,8682,112,0,23,8974,487,20,50581,285,0,54,51427,7857,1174,184922,4274,138147,3932,340306
"2024M04",0,0,0,0,31959,0,31959,0,0,0,0,69527,0,69527,1805,382,21404,255,0,21,23867,114,394,3072,170,0,6,3756,129,68,3986,53,0,7,4243,109,67,2651,277,0,1,3105,787,21,7910,378,0,20,9116,96,39,3180,110,0,5,3430,281,435,17329,355,0,62,18462,6418,2309,109711,4038,101486,1062,225024
"2024M05",0,0,0,0,31132,0,31132,0,0,0,0,52093,0,52093,1242,193,13818,238,0,19,15510,99,48,3081,167,0,2,3397,105,20,3563,44,0,5,3737,93,6,1401,239,0,3,1742,663,9,4151,362,0,16,5201,78,3,1939,118,0,12,2150,252,64,13089,265,0,31,13701,5375,992,84797,3739,83225,1537,179665
"2024M06",0,0,0,0,31531,0,31531,0,0,0,0,64945,0,64945,1785,282,13329,299,0,27,15722,96,59,2747,164,0,0,3066,156,31,3026,85,0,3,3301,102,40,1017,188,0,1,1348,626,14,3291,435,0,12,4378,88,27,1577,120,0,6,1818,310,316,14773,341,0,16,15756,5965,1565,76772,3499,96476,1017,185294
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Data is derived from a sample of records and hence may contain sample error. Caution should be used when using data with low cell values."
"Visitor arrivals are overseas residents arriving in New Zealand for a stay of less than 12 months."
"The United Kingdom also includes the Channel Islands and the Isle of Man."
"New Zealand and Australian citizens do not have to apply for a visa to enter and stay in New Zealand."
"For detailed metadata about countries used in International Travel and Migration statistics, see DataInfo+. http://ow.ly/Mm9ba"
"The country of citizenship is the country which issued the passenger's passport"
"New Zealand and Australian citizens do not have to apply for a visa to enter and stay in New Zealand."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ITM388AA"
""
"Last updated:"
"13 August 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
